inx,x,y,z,rx,ry,rz,p,v
1,1.068004,1.578747,0.6945359,13.55903,207.8209,357.843,P01,longdress
2,1.069438,1.577285,0.6950002,14.67673,208.0978,357.9181,P01,longdress
3,1.070998,1.57674,0.6939509,16.64792,208.5086,358.0524,P01,longdress
4,1.073057,1.572979,0.6920727,18.50802,209.5383,358.4474,P01,longdress
5,1.074323,1.569159,0.6902636,20.88417,210.3877,358.9755,P01,longdress
6,1.075139,1.564976,0.6881795,24.13857,211.728,359.5632,P01,longdress
7,1.075192,1.56039,0.6848749,26.69368,212.8018,0.2159694,P01,longdress
8,1.074839,1.555552,0.6822081,27.98081,213.6768,1.046112,P01,longdress
9,1.081859,1.550763,0.6786788,28.99686,214.4627,1.576351,P01,longdress
10,1.081092,1.545722,0.6764264,30.0127,214.9248,1.728815,P01,longdress
11,1.080008,1.54098,0.6751904,31.2955,215.1461,1.743976,P01,longdress
12,1.078572,1.53802,0.6745958,32.27862,215.3022,1.760579,P01,longdress
13,1.075124,1.533603,0.6732969,33.94188,215.28,1.544219,P01,longdress
14,1.070893,1.53194,0.6728488,34.50074,215.1828,1.461513,P01,longdress
15,1.065701,1.53125,0.6737458,34.98471,214.7581,1.130432,P01,longdress
16,1.061205,1.532075,0.6748145,34.82968,214.4664,0.8389713,P01,longdress
17,1.057135,1.532529,0.6758351,34.72565,214.3301,0.5510919,P01,longdress
18,1.047289,1.533494,0.67816,34.44904,213.7896,359.8496,P01,longdress
19,1.038673,1.53407,0.6798469,34.20695,213.3561,359.4131,P01,longdress
20,1.029068,1.534244,0.6821827,34.09805,212.7625,359.0824,P01,longdress
21,1.018396,1.534093,0.6845345,33.9903,211.9079,358.6519,P01,longdress
22,1.006438,1.533615,0.6867652,33.79938,210.9831,358.2856,P01,longdress
23,0.9936532,1.532984,0.6894026,33.3043,209.7543,357.8496,P01,longdress
24,0.9839982,1.532242,0.6915663,32.79725,208.9198,357.5382,P01,longdress
25,0.9690689,1.531241,0.6950111,32.31686,207.8194,357.1655,P01,longdress
26,0.9532239,1.53008,0.6998628,31.63327,206.4778,356.8177,P01,longdress
27,0.936535,1.529181,0.705811,30.68802,204.972,356.5676,P01,longdress
28,0.9202605,1.529342,0.7119442,29.79787,203.6385,356.4848,P01,longdress
29,0.9041687,1.531356,0.7183757,28.92109,202.3468,356.3554,P01,longdress
30,0.8881783,1.535089,0.7239294,28.13621,200.9192,356.1248,P01,longdress
31,0.8778467,1.53774,0.7275264,27.11744,200.3206,356.1249,P01,longdress
32,0.8596841,1.543008,0.7346882,24.29548,199.8227,356.2277,P01,longdress
33,0.8472629,1.547559,0.7403979,22.65831,199.4662,356.0158,P01,longdress
34,0.8367375,1.551733,0.7469118,21.27802,198.9863,355.9366,P01,longdress
35,0.8279411,1.555174,0.7540441,19.70852,198.1898,356.0235,P01,longdress
36,0.8201146,1.558455,0.7612976,18.14102,197.2263,356.0839,P01,longdress
37,0.8130268,1.561526,0.7681131,16.56337,195.9205,356.1574,P01,longdress
38,0.8061949,1.564336,0.7740549,14.83582,194.6742,356.2791,P01,longdress
39,0.8001394,1.566757,0.7794544,13.26789,193.6093,356.2911,P01,longdress
40,0.7942733,1.56886,0.7845549,11.98241,192.6165,356.2473,P01,longdress
41,0.7884338,1.570906,0.7889096,11.11314,191.7188,356.2455,P01,longdress
42,0.7720095,1.575262,0.796921,8.736886,190.1339,356.7234,P01,longdress
43,0.768175,1.576281,0.7985432,8.155447,189.7899,356.8976,P01,longdress
44,0.7642311,1.577587,0.8000382,7.603571,189.4191,356.9273,P01,longdress
45,0.7566389,1.57975,0.8032275,5.891175,188.5299,357.1379,P01,longdress
46,0.7532303,1.580622,0.8047057,5.060413,187.9938,357.347,P01,longdress
47,0.7472761,1.582598,0.8078151,3.777721,187.0251,357.54,P01,longdress
48,0.7438921,1.583334,0.809139,3.590468,186.6161,357.4542,P01,longdress
49,0.7378791,1.585768,0.8106947,2.467891,185.6097,357.4843,P01,longdress
50,0.7357705,1.587245,0.8108935,1.57589,185.1999,357.5009,P01,longdress
51,0.7318317,1.589768,0.8124551,0.3203672,184.6383,357.2841,P01,longdress
52,0.7304059,1.590589,0.8128713,359.5821,184.4556,357.3283,P01,longdress
53,0.7276534,1.591339,0.8136129,358.9821,184.1185,357.4955,P01,longdress
54,0.7268779,1.591396,0.8136728,359.2292,184.0078,357.5834,P01,longdress
55,0.72615,1.59148,0.8135094,359.7675,183.9475,357.5201,P01,longdress
56,0.7260708,1.59105,0.812911,0.738352,183.9818,357.1532,P01,longdress
57,0.7270537,1.591438,0.8106744,1.004705,183.573,357.0596,P01,longdress
58,0.7281713,1.592121,0.8088775,1.407486,183.317,356.9914,P01,longdress
59,0.7318184,1.593284,0.8048494,1.376933,182.4678,356.9139,P01,longdress
60,0.7346749,1.593154,0.8024982,0.6259547,182.1279,356.9207,P01,longdress
61,0.7413332,1.592456,0.7985318,0.5728155,180.6185,356.7216,P01,longdress
62,0.7457008,1.591969,0.7965579,0.7321324,180.1629,356.5756,P01,longdress
63,0.7549448,1.590858,0.7929384,1.274951,179.6294,356.4558,P01,longdress
64,0.758494,1.591013,0.7912269,1.526878,179.5476,356.5953,P01,longdress
65,0.774084,1.592377,0.7861623,1.376776,179.8839,357.5683,P01,longdress
66,0.7791524,1.593351,0.783896,1.117199,180.0072,358.1135,P01,longdress
67,0.7891569,1.594712,0.7792352,0.9347484,179.9235,358.6981,P01,longdress
68,0.794476,1.594465,0.7764834,1.05021,179.7889,358.7621,P01,longdress
69,0.8005489,1.593944,0.7732608,1.212202,179.6671,358.7458,P01,longdress
70,0.8136338,1.591322,0.7660985,1.808168,180.0278,358.6347,P01,longdress
71,0.8284224,1.587133,0.7577606,2.94334,181.2233,358.8066,P01,longdress
72,0.8372259,1.58478,0.7532605,3.501445,181.9117,358.9946,P01,longdress
73,0.8555505,1.580492,0.7442501,4.422829,183.4787,359.2353,P01,longdress
74,0.8661208,1.579074,0.7392908,4.79678,184.4577,359.2743,P01,longdress
75,0.8893746,1.576819,0.7292465,4.70204,187.1235,359.6495,P01,longdress
76,0.9013387,1.57565,0.7238754,4.400922,188.5181,0.01737202,P01,longdress
77,0.9279891,1.573123,0.7132056,3.894037,191.1557,0.5080268,P01,longdress
78,0.9417813,1.572065,0.7078863,4.30538,192.4798,0.6053525,P01,longdress
79,0.9560647,1.571442,0.7027701,4.967093,193.7664,0.6266559,P01,longdress
80,0.9843086,1.573654,0.691548,7.326977,195.3767,0.4395245,P01,longdress
81,0.997776,1.577202,0.6851284,8.652352,195.5452,0.1600889,P01,longdress
82,1.023124,1.585051,0.6730503,9.011459,196.0183,0.329074,P01,longdress
83,1.034195,1.588738,0.6668319,8.275686,196.2026,0.8211328,P01,longdress
84,1.053123,1.593868,0.6561941,6.29367,195.5945,1.911588,P01,longdress
85,1.061388,1.595373,0.6513803,5.69672,195.5805,2.256414,P01,longdress
86,1.074867,1.595049,0.6432379,6.1165,196.6843,2.195566,P01,longdress
87,1.080612,1.593769,0.6398826,7.055836,197.4452,1.985457,P01,longdress
88,1.087007,1.592338,0.6330048,9.286655,199.1163,1.89721,P01,longdress
89,1.088821,1.591827,0.6305612,10.38137,199.878,2.105941,P01,longdress
90,1.088684,1.592044,0.6265634,11.58584,200.8649,2.878599,P01,longdress
91,1.087355,1.59177,0.6250826,11.86232,201.0521,3.008247,P01,longdress
92,1.083179,1.590088,0.6242399,12.97121,201.0716,2.59171,P01,longdress
93,1.079267,1.587896,0.6248742,14.19074,201.0464,2.28522,P01,longdress
94,1.068238,1.581181,0.6264653,17.42146,201.6025,2.297372,P01,longdress
95,1.061727,1.577115,0.6276991,19.3504,201.69,2.260883,P01,longdress
96,1.044154,1.568093,0.6311142,22.22195,201.6932,2.287613,P01,longdress
97,1.035021,1.564025,0.6332027,22.87447,201.2197,2.055338,P01,longdress
98,1.014846,1.555457,0.6371148,21.97477,199.4128,1.674275,P01,longdress
99,1.003975,1.551607,0.6393681,22.11024,198.082,0.891398,P01,longdress
100,0.9779968,1.545816,0.6450629,22.95429,195.5957,359.3692,P01,longdress
101,0.9636614,1.54355,0.649163,23.06956,194.3254,358.8208,P01,longdress
102,0.9476779,1.54251,0.6541577,23.01973,192.8828,358.2982,P01,longdress
103,0.9116256,1.540767,0.66556,22.11171,190.6149,357.4502,P01,longdress
104,0.8722565,1.537961,0.6765551,22.13549,189.6062,356.343,P01,longdress
105,0.8512762,1.53618,0.6820486,22.4687,189.2717,355.5661,P01,longdress
106,0.8102063,1.531729,0.6921301,23.40248,188.9229,353.9337,P01,longdress
107,0.7899314,1.529018,0.6964426,24.24118,188.5829,353.0358,P01,longdress
108,0.7528927,1.524965,0.7048259,26.43536,188.095,351.2915,P01,longdress
109,0.7371496,1.52325,0.708561,27.48312,187.7759,350.3101,P01,longdress
110,0.7113158,1.522568,0.7153237,29.06095,186.6387,349.0334,P01,longdress
111,0.7011217,1.523073,0.7181141,29.13315,186.4302,348.8596,P01,longdress
112,0.684683,1.526281,0.723454,28.15496,186.0418,348.586,P01,longdress
113,0.6753137,1.528825,0.7265748,27.74797,185.5739,348.6003,P01,longdress
114,0.6629282,1.533476,0.733174,26.64638,184.7448,348.5847,P01,longdress
115,0.6585099,1.535962,0.7369039,25.96519,184.6826,348.6263,P01,longdress
116,0.6548347,1.538552,0.7404479,25.10289,184.6352,348.603,P01,longdress
117,0.6490089,1.54373,0.7471777,22.58242,184.9632,348.339,P01,longdress
118,0.6480113,1.548019,0.7513341,20.47419,185.7443,348.1965,P01,longdress
119,0.6473203,1.55092,0.7537824,19.05592,186.3093,348.2606,P01,longdress
120,0.6482038,1.555402,0.7574969,17.08784,187.4388,348.6425,P01,longdress
121,0.6510965,1.560567,0.7611789,15.42893,188.4523,349.0717,P01,longdress
122,0.656179,1.566067,0.7647119,13.32182,189.4179,349.7002,P01,longdress
123,0.6639832,1.571635,0.7683833,11.29372,190.653,350.2926,P01,longdress
124,0.6737622,1.57684,0.7716333,8.990962,191.6209,351.181,P01,longdress
125,0.6815897,1.579609,0.7735198,7.178708,192.0978,351.8808,P01,longdress
126,0.700923,1.584123,0.7766738,4.930799,193.2053,352.9238,P01,longdress
127,0.7183665,1.585873,0.7785128,3.63803,194.0222,353.4783,P01,longdress
128,0.7375085,1.586568,0.7808216,2.419359,194.9103,354.0972,P01,longdress
129,0.7576641,1.586749,0.7822933,1.624046,195.3904,354.453,P01,longdress
130,0.7803485,1.586386,0.7830915,0.7530252,195.5704,355.0805,P01,longdress
131,0.7974133,1.585391,0.7830217,359.775,195.4808,355.3652,P01,longdress
132,0.8225628,1.584839,0.7819645,359.1532,195.6134,355.748,P01,longdress
133,0.8493314,1.5832,0.7812308,358.2858,195.4682,355.9068,P01,longdress
134,0.8777503,1.581073,0.7794923,357.6143,195.2343,355.9408,P01,longdress
135,0.9067284,1.579521,0.776531,357.6787,195.0597,355.8354,P01,longdress
136,0.935433,1.578064,0.7708511,358.9773,195.329,355.6379,P01,longdress
137,0.9626105,1.576172,0.7625356,1.444663,195.4357,355.688,P01,longdress
138,0.9884799,1.574631,0.751752,4.832154,196.0779,356.3554,P01,longdress
139,1.004974,1.571885,0.7432976,7.199077,196.7593,356.9228,P01,longdress
140,1.034895,1.565021,0.7258806,12.54951,196.7129,357.4571,P01,longdress
141,1.054595,1.558106,0.7119394,16.17708,197.4435,358.7148,P01,longdress
142,1.072695,1.550924,0.6979603,21.05604,197.6963,359.1988,P01,longdress
143,1.090296,1.543735,0.6851115,25.1436,198.785,0.07660186,P01,longdress
144,1.100619,1.538771,0.6761916,27.55789,199.5726,0.4995292,P01,longdress
145,1.11914,1.531036,0.6585038,31.29293,199.8972,0.1295954,P01,longdress
146,1.132219,1.525308,0.6450996,31.97816,201.0659,0.9148981,P01,longdress
147,1.144568,1.519989,0.6314993,32.98155,201.8978,1.250725,P01,longdress
148,1.155375,1.515149,0.6175489,34.19111,203.1961,2.058923,P01,longdress
149,1.161937,1.511481,0.6076555,34.92386,204.1472,2.699147,P01,longdress
150,1.173746,1.504692,0.5880789,36.98929,205.4886,3.08631,P01,longdress
151,1.177167,1.499501,0.5742105,38.25386,207.7923,4.145812,P01,longdress
152,1.185323,1.493946,0.5587836,39.59038,209.6839,4.314698,P01,longdress
153,1.190824,1.490325,0.5487502,40.12052,210.4913,4.048407,P01,longdress
154,1.200405,1.482635,0.5284749,41.53371,211.1117,3.14212,P01,longdress
155,1.20528,1.479895,0.5174941,42.52922,210.5121,1.963359,P01,longdress
156,1.212729,1.476646,0.5006581,43.12321,208.9637,0.3855551,P01,longdress
157,1.220692,1.475002,0.4825683,43.7015,207.1359,358.8744,P01,longdress
158,1.228719,1.477144,0.464202,44.79989,204.8764,357.2786,P01,longdress
159,1.23897,1.479595,0.4490803,44.30677,203.0776,355.8617,P01,longdress
160,1.251807,1.483461,0.4364226,43.11037,201.9449,354.7662,P01,longdress
161,1.264821,1.489234,0.4246381,42.18872,200.6358,354.2024,P01,longdress
162,1.277694,1.495633,0.4138966,41.74134,199.9874,354.4247,P01,longdress
163,1.290644,1.501597,0.4043537,41.14706,200.1451,355.2122,P01,longdress
164,1.302975,1.507502,0.3957548,40.48398,200.7709,356.0497,P01,longdress
165,1.314237,1.512843,0.3877454,39.3392,201.4014,356.9133,P01,longdress
166,1.325088,1.517373,0.3805806,37.78221,202.0594,357.3972,P01,longdress
167,1.336278,1.521038,0.3737383,35.91315,202.5151,357.4064,P01,longdress
168,1.347522,1.523997,0.3672676,33.90356,202.7814,357.0083,P01,longdress
169,1.359123,1.526693,0.3618115,32.57866,203.5446,356.4732,P01,longdress
170,1.37112,1.529185,0.3569951,32.69299,205.3202,355.9175,P01,longdress
171,1.383868,1.530135,0.3538741,33.09451,208.8247,356.2487,P01,longdress
172,1.3959,1.531737,0.3511334,34.81924,213.6424,357.6524,P01,longdress
173,1.411036,1.533885,0.3483998,34.28084,217.8008,358.7257,P01,longdress
174,1.425853,1.535542,0.3446201,31.43967,219.8639,358.6468,P01,longdress
175,1.442608,1.538605,0.3421217,28.91914,221.7948,358.6296,P01,longdress
176,1.46115,1.543125,0.3395535,27.34107,223.6019,358.1133,P01,longdress
177,1.479526,1.549509,0.3365676,26.13585,224.5964,357.0743,P01,longdress
178,1.497952,1.557753,0.3326159,24.71586,224.7031,355.8689,P01,longdress
179,1.516061,1.567046,0.327691,21.85,225.4867,355.6897,P01,longdress
180,1.534156,1.575955,0.3229152,17.69641,226.5496,356.0285,P01,longdress
181,1.551786,1.58358,0.3179332,14.0654,227.3158,356.2626,P01,longdress
182,1.567709,1.5894,0.3127818,11.49572,228.1787,356.6976,P01,longdress
183,1.5825,1.592376,0.3081259,9.976605,229.3065,357.1591,P01,longdress
184,1.595452,1.595078,0.3036156,9.986652,230.745,356.8896,P01,longdress
185,1.605863,1.596928,0.2989097,9.414338,232.3699,356.7233,P01,longdress
186,1.611247,1.59802,0.295498,8.748698,233.6327,356.9131,P01,longdress
187,1.619787,1.60162,0.2894408,7.503978,236.0066,357.18,P01,longdress
188,1.624758,1.603861,0.2859768,6.057858,237.4972,357.4843,P01,longdress
189,1.628118,1.606243,0.2823102,4.961855,238.7067,357.618,P01,longdress
190,1.630274,1.607809,0.2781794,3.47746,239.3852,357.7598,P01,longdress
191,1.631438,1.608079,0.2751532,1.976408,239.9297,358.0183,P01,longdress
192,1.631333,1.606256,0.2726032,0.878356,240.5809,358.1657,P01,longdress
193,1.629257,1.603953,0.2707456,0.4494218,240.5906,358.2288,P01,longdress
194,1.624719,1.604227,0.2678097,1.739877,240.3116,358.0047,P01,longdress
195,1.619941,1.603589,0.264349,1.842407,240.4159,357.9775,P01,longdress
196,1.615078,1.604208,0.260282,2.352154,240.3916,357.3695,P01,longdress
197,1.610089,1.604727,0.2552879,2.700209,240.2075,356.8284,P01,longdress
198,1.604803,1.60537,0.2502207,3.493335,239.9833,356.2527,P01,longdress
199,1.601024,1.606694,0.243733,4.331645,239.7911,356.0996,P01,longdress
200,1.598999,1.607754,0.2392077,4.726008,239.8856,356.2462,P01,longdress
201,1.595847,1.608908,0.2298887,5.10204,240.4993,356.5562,P01,longdress
202,1.594428,1.60804,0.2225698,5.64463,241.0667,356.725,P01,longdress
203,1.593953,1.605895,0.2148452,6.707439,241.58,356.8031,P01,longdress
204,1.594893,1.602535,0.2066421,7.856812,242.2143,356.6242,P01,longdress
205,1.596276,1.600151,0.2008041,8.556178,242.798,356.5057,P01,longdress
206,1.598588,1.595158,0.1882035,10.21371,244.2912,356.3055,P01,longdress
207,1.600762,1.590604,0.1779356,11.85065,245.6868,356.2125,P01,longdress
208,1.604535,1.584931,0.166284,13.83246,247.0911,356.0113,P01,longdress
209,1.609768,1.579163,0.1530531,15.18719,248.1507,355.8784,P01,longdress
210,1.616158,1.573548,0.1384418,16.82791,248.7026,355.8025,P01,longdress
211,1.623796,1.568253,0.1223021,18.81795,249.2012,355.38,P01,longdress
212,1.632314,1.561902,0.1040735,20.04626,249.6018,355.0444,P01,longdress
213,1.642134,1.555463,0.08468116,21.10208,249.9948,354.8705,P01,longdress
214,1.649015,1.551434,0.07130851,21.8385,250.3272,354.8363,P01,longdress
215,1.66296,1.540555,0.04302529,22.87989,250.8094,355.0055,P01,longdress
216,1.669781,1.535129,0.02936904,23.57838,250.8115,354.9201,P01,longdress
217,1.68366,1.525222,0.003888085,26.23779,251.6583,354.3232,P01,longdress
218,1.691398,1.519933,-0.01519025,29.72269,252.0506,353.4081,P01,longdress
219,1.695131,1.517854,-0.02736238,32.19548,252.0276,352.851,P01,longdress
220,1.701497,1.515334,-0.04410721,33.75219,251.7698,352.6787,P01,longdress
221,1.706346,1.513793,-0.05848825,34.43176,251.2046,352.7174,P01,longdress
222,1.71143,1.512911,-0.07026335,34.4532,250.7585,352.5677,P01,longdress
223,1.716612,1.512522,-0.07933198,35.25071,250.6848,352.0461,P01,longdress
224,1.722197,1.512987,-0.08558564,36.23232,251.3218,351.3166,P01,longdress
225,1.726937,1.514769,-0.09033872,36.72485,252.5105,350.9084,P01,longdress
226,1.729672,1.517507,-0.09404822,36.72636,254.1225,351.164,P01,longdress
227,1.731473,1.520336,-0.09597967,36.25725,255.8168,351.6834,P01,longdress
228,1.732764,1.522651,-0.09689257,35.75482,257.0554,351.9757,P01,longdress
229,1.73339,1.524121,-0.0966623,35.37716,258.2283,352.2565,P01,longdress
230,1.73393,1.524943,-0.095201,35.09907,259.0631,352.2673,P01,longdress
231,1.73273,1.526734,-0.09261795,35.87403,259.1308,351.5644,P01,longdress
232,1.732666,1.527307,-0.08922435,35.3441,259.3792,351.0398,P01,longdress
233,1.733131,1.527579,-0.08686576,35.14113,259.5702,350.5656,P01,longdress
234,1.734534,1.52798,-0.08357643,35.02627,259.5529,349.175,P01,longdress
235,1.736349,1.528669,-0.0832337,35.08004,259.7144,348.0266,P01,longdress
236,1.739158,1.529733,-0.08438022,34.7409,260.1275,347.2333,P01,longdress
237,1.742745,1.531776,-0.08680066,34.02788,260.7313,346.9456,P01,longdress
238,1.747192,1.534107,-0.09028236,33.24038,261.8036,347.0972,P01,longdress
239,1.751597,1.536956,-0.09528147,32.67357,263.5251,347.813,P01,longdress
240,1.756249,1.539617,-0.1017106,31.98558,265.5123,348.7007,P01,longdress
241,1.761248,1.54178,-0.1095413,31.3437,267.4473,349.52,P01,longdress
242,1.766549,1.543517,-0.1191289,30.53719,269.2349,350.2785,P01,longdress
243,1.772422,1.544217,-0.1307015,29.88541,270.9372,350.8773,P01,longdress
244,1.778902,1.544714,-0.1445948,29.33589,272.2043,351.1566,P01,longdress
245,1.785227,1.544576,-0.1608043,28.69688,273.0701,351.208,P01,longdress
246,1.791154,1.543688,-0.1787951,28.02004,273.7925,351.1226,P01,longdress
247,1.794852,1.542627,-0.1922437,27.58174,274.2199,351.0349,P01,longdress
248,1.802125,1.539574,-0.221272,26.93413,275.0757,350.9768,P01,longdress
249,1.801848,1.536796,-0.2428933,26.82984,275.7972,351.1777,P01,longdress
250,1.806654,1.533522,-0.2672915,26.84466,276.6488,351.4669,P01,longdress
251,1.812375,1.5305,-0.2922901,26.90273,277.5363,351.5821,P01,longdress
252,1.817917,1.528574,-0.31736,26.9206,278.3433,351.4949,P01,longdress
253,1.822879,1.527758,-0.3419928,27.17861,279.0218,351.2419,P01,longdress
254,1.827403,1.528117,-0.365658,27.36137,279.6768,351.1055,P01,longdress
255,1.831577,1.531094,-0.3879615,27.37028,280.2427,351.3202,P01,longdress
256,1.836749,1.535939,-0.4089575,26.78832,280.7686,351.7115,P01,longdress
257,1.84103,1.540122,-0.422108,25.95664,281.1529,351.9889,P01,longdress
258,1.849312,1.549079,-0.4459737,23.22972,281.8355,352.5875,P01,longdress
259,1.855978,1.55622,-0.462045,21.24641,282.1565,352.8735,P01,longdress
260,1.863542,1.563615,-0.4766499,19.79996,282.2907,353.0469,P01,longdress
261,1.869008,1.568098,-0.4854597,18.86444,282.428,353.1805,P01,longdress
262,1.878587,1.576377,-0.5008911,16.27534,282.6656,353.8717,P01,longdress
263,1.884985,1.582245,-0.5109657,13.59475,282.4848,354.4453,P01,longdress
264,1.890924,1.587701,-0.5194997,10.68106,282.0795,355.0986,P01,longdress
265,1.89742,1.59278,-0.5261039,8.048316,282.0269,355.5446,P01,longdress
266,1.901468,1.596363,-0.5299709,6.553567,282.0848,355.6809,P01,longdress
267,1.909061,1.603008,-0.5347996,3.677769,282.2595,356.0793,P01,longdress
268,1.914777,1.607385,-0.5368811,2.209945,282.3027,356.2005,P01,longdress
269,1.918947,1.610731,-0.5376915,1.216107,281.7861,356.3877,P01,longdress
270,1.922895,1.613135,-0.5375705,0.9319082,281.1515,356.3742,P01,longdress
271,1.925434,1.61615,-0.5364965,1.029529,280.3947,356.136,P01,longdress
272,1.927136,1.618089,-0.5347841,0.9725266,280.2302,355.9198,P01,longdress
273,1.92867,1.61972,-0.5324329,1.156259,280.2578,355.8087,P01,longdress
274,1.92943,1.620726,-0.5294859,1.29743,279.9177,355.8188,P01,longdress
275,1.928618,1.621133,-0.5281174,1.921805,279.6768,355.804,P01,longdress
276,1.926913,1.6202,-0.5258121,3.17426,279.2211,355.6499,P01,longdress
277,1.924852,1.618446,-0.5248479,4.467451,278.9432,355.4325,P01,longdress
278,1.922497,1.615201,-0.5251591,6.245323,279.2565,355.2517,P01,longdress
279,1.920361,1.611111,-0.5266059,7.9546,279.7993,355.0198,P01,longdress
280,1.918525,1.608182,-0.5286646,9.366693,280.1706,354.6994,P01,longdress
281,1.91542,1.602191,-0.5344884,12.21428,281.5856,354.601,P01,longdress
282,1.912878,1.598047,-0.5406165,13.69167,282.1588,354.6291,P01,longdress
283,1.910601,1.59533,-0.545454,14.47006,282.6331,354.7775,P01,longdress
284,1.906876,1.590351,-0.5533135,16.07376,283.5127,355.2507,P01,longdress
285,1.90327,1.585031,-0.5631992,17.66984,283.9906,355.2815,P01,longdress
286,1.899128,1.578917,-0.5747443,18.97705,284.5263,355.0521,P01,longdress
287,1.894784,1.572486,-0.5875493,20.25006,285.1574,354.7646,P01,longdress
288,1.89025,1.566589,-0.6022235,21.33211,285.9081,354.4217,P01,longdress
289,1.884363,1.56066,-0.6182619,22.35949,286.7995,354.2629,P01,longdress
290,1.878698,1.554417,-0.6360168,23.17881,287.4959,354.0915,P01,longdress
291,1.87273,1.548244,-0.6539578,24.48131,288.1447,353.8936,P01,longdress
292,1.865709,1.541832,-0.6727435,26.41346,288.9124,353.7536,P01,longdress
293,1.858199,1.535451,-0.6916978,28.38544,289.4655,353.4057,P01,longdress
294,1.850373,1.529696,-0.7097442,30.65157,290.312,353.2463,P01,longdress
295,1.843334,1.524228,-0.7264354,32.77429,290.9448,353.3931,P01,longdress
296,1.838209,1.519225,-0.7417118,34.58386,290.8535,353.4626,P01,longdress
297,1.83398,1.515079,-0.7558902,36.13394,290.607,353.3181,P01,longdress
298,1.82966,1.512748,-0.7682461,37.49393,290.2804,353.0569,P01,longdress
299,1.827627,1.511755,-0.7756752,37.91888,290.0432,352.9949,P01,longdress
300,1.823735,1.511919,-0.7890581,38.52501,290.1604,352.9503,P01,longdress
1,1.556915,1.566086,0.4375226,12.05021,229.4714,1.450361,P02,longdress
2,1.546169,1.56287,0.4321858,10.83767,228.7898,1.745584,P02,longdress
3,1.541394,1.560914,0.4294727,10.28973,228.6803,1.824679,P02,longdress
4,1.530492,1.558169,0.4239665,10.22942,228.5046,2.203098,P02,longdress
5,1.524637,1.557919,0.421062,10.11031,228.2209,2.366141,P02,longdress
6,1.513353,1.558499,0.4153637,9.207824,227.7521,2.55837,P02,longdress
7,1.508432,1.559547,0.4132358,9.031766,227.7659,2.855768,P02,longdress
8,1.49606,1.563075,0.4103453,9.629495,228.1018,3.838418,P02,longdress
9,1.490453,1.565006,0.4095921,9.540391,228.0678,3.919599,P02,longdress
10,1.476348,1.56885,0.4081274,8.800821,228.1352,3.181085,P02,longdress
11,1.46926,1.570581,0.4080125,8.792809,228.0523,2.995481,P02,longdress
12,1.462215,1.57211,0.408057,9.02566,227.8818,2.946944,P02,longdress
13,1.452001,1.573746,0.4088518,9.705097,227.4259,2.813024,P02,longdress
14,1.441382,1.575126,0.4098846,10.16001,227.1853,2.60982,P02,longdress
15,1.427219,1.575823,0.4120953,10.44895,226.8632,2.534136,P02,longdress
16,1.411784,1.575186,0.415623,10.97619,226.4871,2.371486,P02,longdress
17,1.404464,1.57434,0.417858,11.42733,226.197,2.230152,P02,longdress
18,1.390716,1.572474,0.4226517,12.37275,225.5749,2.055032,P02,longdress
19,1.380359,1.570556,0.4270752,12.93592,225.0588,2.015609,P02,longdress
20,1.366772,1.568054,0.4335161,13.77266,224.4571,2.021684,P02,longdress
21,1.352508,1.565821,0.4411241,14.4727,223.3991,1.918362,P02,longdress
22,1.342827,1.564593,0.4468231,14.70856,222.558,1.814477,P02,longdress
23,1.322896,1.562439,0.4592478,15.05037,220.8871,1.753265,P02,longdress
24,1.308315,1.561412,0.4700021,14.65822,219.5393,1.793191,P02,longdress
25,1.289589,1.560505,0.4831185,13.24141,218.0381,1.674765,P02,longdress
26,1.273044,1.560107,0.496292,11.83344,216.4752,1.527547,P02,longdress
27,1.26368,1.560429,0.5049708,10.93492,215.3649,1.647736,P02,longdress
28,1.243191,1.562849,0.5228715,10.02394,212.9503,2.178784,P02,longdress
29,1.228137,1.568411,0.5355022,9.841894,211.3591,2.17251,P02,longdress
30,1.218984,1.573288,0.5435394,8.518777,210.6133,1.821534,P02,longdress
31,1.204267,1.578285,0.5566114,6.424085,209.5251,1.787824,P02,longdress
32,1.190854,1.58187,0.5694989,4.335882,208.1532,2.14767,P02,longdress
33,1.176846,1.584687,0.5821376,2.788071,206.6263,2.48132,P02,longdress
34,1.162152,1.587299,0.593878,1.886579,205.2304,2.665039,P02,longdress
35,1.148216,1.589572,0.603732,1.062956,204.0098,2.698529,P02,longdress
36,1.139292,1.590503,0.6100026,0.1619893,203.3198,2.636525,P02,longdress
37,1.12236,1.591761,0.6206332,358.5837,202.2974,2.317315,P02,longdress
38,1.110117,1.59274,0.6273192,358.0046,201.2485,2.019312,P02,longdress
39,1.098017,1.593451,0.6327405,357.6992,200.1739,1.703001,P02,longdress
40,1.090098,1.593682,0.6358594,357.3728,199.514,1.566802,P02,longdress
41,1.075703,1.593841,0.6400198,356.7511,198.4772,1.423458,P02,longdress
42,1.061464,1.594035,0.6434318,356.3546,197.4201,1.281811,P02,longdress
43,1.047204,1.593987,0.6453689,355.9962,196.445,1.184717,P02,longdress
44,1.033259,1.593454,0.6453835,355.5977,195.5841,1.084575,P02,longdress
45,1.020478,1.592427,0.6441399,355.1277,194.6541,1.045174,P02,longdress
46,1.007423,1.590999,0.6420155,354.6225,193.7933,1.126147,P02,longdress
